,Neighborhood,Venue,Venue_Latitude,Venue_Longitude,Venue_Category
171,Dufferin Grove,Three Speed,43.6592928,-79.43802454,Bar
172,Dufferin Grove,Tallboys Craft Beer House,43.6624566,-79.42370937,Pub
173,Dufferin Grove,The Common,43.66075817,-79.43134508,Coffee Shop
174,Dufferin Grove,Tavoos Restaurant,43.65250122,-79.43305407,Middle Eastern Restaurant
175,Dufferin Grove,Skippa,43.6586977,-79.42278385,Japanese Restaurant
176,Dufferin Grove,Banjara Indian Cuisine,43.66291639,-79.42191098,Indian Restaurant
177,Dufferin Grove,Tucana Coffee,43.64954885,-79.42914711,Coffee Shop
178,Dufferin Grove,Brockton Haunt,43.65232065,-79.43396553,Coffee Shop
179,Dufferin Grove,Mod Club Theatre,43.65517208,-79.41921434,Nightclub
180,Dufferin Grove,Easy Tiger,43.64961927,-79.43022426,Boutique
181,Dufferin Grove,Imanishi Japanese Kitchen,43.64954562,-79.42655052,Japanese Restaurant
182,Dufferin Grove,Home Baking Co.,43.65898789,-79.43986431,Bakery
183,Dufferin Grove,Christie Pits Park,43.66417738,-79.42046642,Park
184,Dufferin Grove,YamChops,43.65519423,-79.4180992,Vegetarian / Vegan Restaurant
185,Dufferin Grove,Starving Artist Waffles. Espresso. Bar.,43.65456316,-79.42189501,Breakfast Spot
186,Dufferin Grove,Chiado,43.65413943,-79.42421433,Portuguese Restaurant
187,Dufferin Grove,Founder Restaurant & Bar,43.64947797,-79.42535204,Restaurant
188,Dufferin Grove,Antler,43.64965242,-79.4305414,Restaurant
189,Dufferin Grove,Wise Bar,43.66092172,-79.43043095,Bar
190,Dufferin Grove,Hogtown Vegan,43.66052354,-79.4325248,Vegetarian / Vegan Restaurant
191,Dufferin Grove,Grey Tiger,43.65939269,-79.43784603,Cocktail Bar
192,Dufferin Grove,Madras Masala,43.66295851,-79.4216461,Indian Restaurant
193,Dufferin Grove,Northwood,43.66271485,-79.4221637,Cocktail Bar
194,Dufferin Grove,Pero Restaurant,43.66269852,-79.42267113,Ethiopian Restaurant
195,Dufferin Grove,The Walton,43.65504503,-79.41436332,Café
196,Dufferin Grove,Monocle,43.65483919,-79.42055919,Bookstore
197,Dufferin Grove,Ufficio,43.64943939,-79.42301401,Italian Restaurant
198,Dufferin Grove,Paris Paris Bar,43.649237,-79.421436,Wine Bar
199,Dufferin Grove,Pinky's Ca Phe,43.65553023,-79.41387875,Asian Restaurant
200,Dufferin Grove,The Depanneur,43.65290371,-79.42957535,Food
201,Dufferin Grove,The Goods,43.649259,-79.424022,Vegetarian / Vegan Restaurant
202,Dufferin Grove,Foxley Bistro,43.64864275,-79.42049526,Asian Restaurant
203,Dufferin Grove,Pizzeria Libretto,43.64897863,-79.42060357,Pizza Place
204,Dufferin Grove,Veghed,43.649224,-79.422326,Vegetarian / Vegan Restaurant
205,Roncesvalles,Roncesvalles,4.010504138,-75.60456884,Park
206,Roncesvalles,Finca - Villa deisy,3.849863052,-75.69460297,Bathing Area
207,Roncesvalles,Plaza de Bolívar,4.206643673,-75.79081971,Park
208,Annex,Maverik Adventures First Stop,44.2453121,-116.9580559,Gas Station
209,Annex,Sinclair,44.246531,-116.95789,Sandwich Place
210,Annex,Family Dollar,44.24731485,-116.958061,Discount Store
211,Annex,McDonald's,44.24606797,-116.9635229,Fast Food Restaurant
212,Annex,U.S. Bank ATM,44.07338798,-116.9346088,ATM
213,Annex,Maverik Adventures First Stop,44.07771143,-116.924148,Gas Station
214,Annex,Farewell Bend State Park,44.30560842,-117.2240353,State / Provincial Park
215,Annex,Tacos El Zarape,44.02714161,-116.952473,Mexican Restaurant
216,Annex,ridley's,44.24866926,-116.9675624,Grocery Store
217,Annex,Jolts & Juice,44.0240569,-116.9636115,Coffee Shop
218,Annex,Beehive Family Restaurant,44.24032974,-116.9581375,Diner
219,Annex,Subway,44.06958478,-116.9228908,Sandwich Place
220,Annex,Bi-Mart Weiser,44.25600355,-116.9610182,Pharmacy
221,Annex,Tacos Mi Ranchito,44.024408,-116.9634823,Mexican Restaurant
222,Annex,Ogawa's Teriyaki Hut,44.02594014,-116.956498,Japanese Restaurant
223,Annex,Burger West,44.024746,-116.972461,Burger Joint
224,Annex,U.S. Bank ATM,44.024446,-116.965367,ATM
225,Annex,Romios,44.023605,-116.964284,Italian Restaurant
226,Annex,GameStop,44.02576065,-116.9408417,Video Game Store
227,Annex,Papa Murphy's,44.0256304,-116.9426538,Pizza Place
228,Annex,Ontario Inn,44.024399,-116.97942,Hotel
229,Annex,Jolts & Juice,44.02567664,-116.9417287,Coffee Shop
230,Annex,Great Clips,44.0257858,-116.9427361,Salon / Barbershop
231,Annex,Redbox,44.024568,-116.986526,Video Store
232,Annex,Pizza Hut,44.02507918,-116.9834626,Pizza Place
233,Annex,rue21,44.02628644,-116.9427375,Clothing Store
234,Annex,Subway,44.0250835,-116.9871547,Sandwich Place
235,Annex,Subway,44.0267832,-116.9385428,Sandwich Place
236,Annex,Sally Beauty,44.026678,-116.942757,Cosmetics Shop
237,Annex,Rite Aid,44.024148,-116.973629,Pharmacy
238,Annex,Fiesta Guadalajara,44.023491,-116.96358,Mexican Restaurant
239,Annex,Subway,44.02592439,-116.9240892,Sandwich Place
240,Annex,Walgreens,44.02386029,-116.9440368,Pharmacy
241,Annex,Subway,44.02348064,-116.9396419,Sandwich Place
242,Annex,Rest Stop (Snake River),43.99378242,-116.9359153,Rest Area
243,Annex,Starbucks,44.02401,-116.94145,Coffee Shop
244,Annex,Dollar Tree,44.02326121,-116.9400488,Discount Store
245,Annex,Mackey's Steakhouse and Pub,44.02579238,-116.9649062,Steakhouse
246,Annex,Carl's Jr.,44.02516746,-116.9427753,Fast Food Restaurant
247,Annex,Staples,44.0232696,-116.9466171,Paper / Office Supplies Store
248,Annex,Maverik Adventure's First Stop,44.015022,-116.9228566,Gas Station
249,Annex,Snake River,44.29124258,-117.2243056,River
250,High Park North,Grillway Subs and Burgers,43.66003248,-79.47993665,Diner
251,High Park North,Bread & Roses Bakery Cafe,43.65119432,-79.47665678,Bakery
252,High Park North,The Good Neighbour,43.66257807,-79.47098591,Café
253,High Park North,Baka Gallery Cafe,43.65103966,-79.4776053,Café
254,High Park North,Buddha Pie,43.66159743,-79.47949865,Pizza Place
255,High Park North,The Sweet Potato,43.66540543,-79.46922947,Grocery Store
256,High Park North,Simply Thai,43.6507818,-79.47760089,Thai Restaurant
257,High Park North,Ice Cream Junction,43.6655294,-79.47305279,Ice Cream Shop
258,High Park North,Campo,43.655191,-79.487067,Italian Restaurant
259,High Park North,Zaza Espresso Bar & Gelato,43.65110627,-79.4777101,Café
260,High Park North,nodo,43.66530332,-79.46562068,Italian Restaurant
261,High Park North,Westwood Grill,43.65996228,-79.47975658,Asian Restaurant
262,High Park North,Yogurty's,43.65122815,-79.4755243,Frozen Yogurt Shop
263,High Park North,Hole in the Wall,43.66529624,-79.46511783,Bar
264,High Park North,Curry Twist,43.66558068,-79.47054074,Indian Restaurant
265,High Park North,Indie Alehouse,43.66547472,-79.46528973,Gastropub
266,High Park North,famous last words,43.665181,-79.468471,Speakeasy
267,High Park North,High Park,43.64647917,-79.46342468,Park
268,High Park North,Cabin Fever,43.65544217,-79.45663939,Bar
269,High Park North,Wibke's Espresso Bar,43.64913158,-79.48480237,Coffee Shop
270,High Park North,Honest Weight,43.665389,-79.461335,Seafood Restaurant
271,High Park North,High Park Cherry Blossoms,43.64474296,-79.46646356,Scenic Lookout
272,High Park North,Queen's Pasta Café,43.65070659,-79.47797787,Italian Restaurant
273,High Park North,Delight,43.66552227,-79.47062379,Dessert Shop
274,High Park North,Junction Farmers' Market,43.66548663,-79.46811755,Flea Market
275,High Park North,Yumi Sushi,43.64989127,-79.48240445,Sushi Restaurant
276,High Park North,Max's Market,43.65052462,-79.47914453,Gourmet Shop
277,High Park North,Asa Sushi,43.64990164,-79.48461092,Sushi Restaurant
278,High Park North,The Thai,43.65539211,-79.45682863,Thai Restaurant
279,High Park North,Offleash Dog Trail - High Park,43.64548543,-79.45874691,Dog Run
280,High Park North,High Park Dog Park,43.64670372,-79.46367951,Dog Run
281,High Park North,Hot Oven Bakery,43.65115531,-79.47656564,Bakery
282,High Park North,Shakey's Original Bar & Grill,43.65077089,-79.47758071,Gastropub
283,High Park North,Patisserie 27,43.65835465,-79.48813736,Bakery
284,High Park North,Goodfellas Wood Oven Pizza,43.648224,-79.486356,Italian Restaurant
285,High Park North,Bunner's Bake Shop,43.66553598,-79.47151288,Bakery
286,High Park North,The One That Got Away,43.64984188,-79.48261453,Fish & Chips Shop
287,High Park North,Junction Grill,43.66521012,-79.46846083,Diner
288,High Park North,RaviSoups,43.66155543,-79.45516038,Soup Place
289,High Park North,LCBO,43.67043567,-79.473005,Liquor Store
290,High Park North,TuckShop Kitchen,43.66505003,-79.45562358,Burger Joint
291,High Park North,Mattachioni,43.66495951,-79.45491213,Café
292,High Park North,TD Canada Trust,43.65128459,-79.47659433,Bank
293,High Park North,Lan Sushi,43.66550717,-79.46882453,Sushi Restaurant
294,High Park North,Cheese Boutique,43.63846648,-79.47525769,Deli / Bodega
295,High Park North,When the Pig Came Home,43.66547728,-79.47065053,Deli / Bodega
296,High Park North,Lucy Nails,43.66546667,-79.47149064,Nail Salon
297,High Park North,Starbucks,43.651395,-79.47599,Coffee Shop
298,High Park North,Jamie Bell Adventure Playground,43.64358716,-79.45686274,Playground
299,High Park North,The Chocolateria,43.64992823,-79.45043668,Dessert Shop
300,Wychwood,Bistro L'Autre Oeil,45.39497316,-75.84059715,Beer Bar
301,Wychwood,Depanneur Rapido,45.39746369,-75.85653232,Liquor Store
302,Wychwood,Marche Gravelle - King of Beers,45.39749104,-75.84995806,Liquor Store
303,Wychwood,Shawarma Palace,45.356422,-75.80239339,Middle Eastern Restaurant
304,Wychwood,Andrew Haydon Park,45.349754,-75.818275,Park
305,Wychwood,Pizza Pizza,45.39594126,-75.83415544,Pizza Place
306,Wychwood,Britannia Beach,45.36446934,-75.8014952,Beach
307,Wychwood,Dinty Moore's,45.39946631,-75.80749852,Restaurant
308,Wychwood,Britannia Park,45.36430032,-75.79962165,Park
309,Wychwood,Dairy Queen,45.39449664,-75.83508119,Ice Cream Shop
310,Wychwood,Marshes Golf Club,45.35253626,-75.91218204,Golf Course
311,Wychwood,TD Canada Trust Branch and ATM,45.39710065,-75.83580774,Bank
312,Wychwood,Rainbow Foods,45.363366,-75.79123299,Health Food Store
313,Wychwood,Subway,45.39864749,-75.83694364,Sandwich Place
314,Wychwood,Apple Bayshore Shopping Centre,45.3470813,-75.8073767,Electronics Store
315,Wychwood,Baja Burger Shack,45.36429946,-75.80175239,Burger Joint
316,Wychwood,Mongolian Village,45.32008202,-75.83693283,Asian Restaurant
317,Wychwood,Options Jazz Lounge,45.34783918,-75.91759063,Jazz Club
318,Wychwood,Lapointe Seafood Grill and Fish Counter,45.32086876,-75.89006999,Seafood Restaurant
319,Wychwood,Ralph & Son's,45.35213352,-75.8357118,Diner
320,Wychwood,Bridgehead,45.38952525,-75.75969714,Coffee Shop
321,Wychwood,LCBO,45.33003823,-75.81662451,Liquor Store
322,Wychwood,PJC Jean Coutu,45.39640811,-75.83562975,Pharmacy
323,Wychwood,Baker Street Cafe,45.39116618,-75.75592306,Breakfast Spot
324,Wychwood,Brookstreet Hotel,45.34796694,-75.91755047,Hotel
325,Wychwood,Luna Crêpes and Café,45.33559979,-75.90849556,Café
326,Wychwood,Golden Palace,45.36995075,-75.77175878,Chinese Restaurant
327,Wychwood,The Butchery,45.3284732,-75.81931625,Butcher
328,Wychwood,IGA,45.39629184,-75.83348306,Grocery Store
329,Wychwood,Big Rig Kitchen & Brewery - Iris,45.347519,-75.78722,Restaurant
330,Wychwood,The Piggy Market,45.39116561,-75.75646624,Deli / Bodega
331,Wychwood,Subway,45.37832318,-75.77486205,Sandwich Place
332,Wychwood,Richcraft Recreation Complex,45.3405869,-75.93042528,Athletics & Sports
333,Wychwood,Starbucks,45.347305,-75.807452,Coffee Shop
334,Wychwood,Farm Boy,45.36280312,-75.79141909,Grocery Store
335,Wychwood,McDonald's,45.3587882,-75.93646959,Fast Food Restaurant
336,Wychwood,Little India Cafe,45.3551787,-75.8068585,Indian Restaurant
337,Wychwood,Tim Hortons,45.34855625,-75.92218995,Coffee Shop
338,Wychwood,Dairy Queen / Orange Julius,45.39106761,-75.75641066,Ice Cream Shop
339,Wychwood,Chapters,45.34955251,-75.78774178,Bookstore
340,Wychwood,Shawarma House,45.35726898,-75.9335889,Middle Eastern Restaurant
341,Wychwood,Shoppers Drug Mart,45.390268,-75.756945,Pharmacy
342,Wychwood,TD Canada Trust,45.3473615,-75.807109,Bank
343,Wychwood,Subway,45.36465165,-75.78594435,Sandwich Place
344,Wychwood,PJC Jean Coutu,45.4172889,-75.80693444,Pharmacy
345,Wychwood,Petro-Canada,45.41348796,-75.83901873,Gas Station
346,Wychwood,Tim Hortons,45.41034976,-75.85767478,Coffee Shop
347,Wychwood,Sukhothai Restaurant,45.32090668,-75.83540242,Thai Restaurant
348,Wychwood,Milestones,45.35193419,-75.78372921,Restaurant
349,Wychwood,Vera's Burgers,45.32845468,-75.81934747,Burger Joint
350,Casa Loma,Helandia Dairy,33.82806261,-117.0415406,Farm
351,Casa Loma,Ramona Dairy,33.82380906,-117.0165273,Farm
352,Trinity-Bellwoods,Sud Forno,43.64620839,-79.4089862,Bakery
353,Trinity-Bellwoods,Cumbrae's,43.64624849,-79.40892241,Butcher
354,Trinity-Bellwoods,North of Brooklyn Pizzeria,43.646945,-79.406561,Pizza Place
355,Trinity-Bellwoods,Terroni,43.64617742,-79.40915033,Pizza Place
356,Trinity-Bellwoods,Soufi's,43.64655264,-79.40733879,Middle Eastern Restaurant
357,Trinity-Bellwoods,Misfit Studio,43.646308,-79.407839,Yoga Studio
358,Trinity-Bellwoods,Dufflet Pastries,43.646306,-79.408456,Dessert Shop
359,Trinity-Bellwoods,Neat,43.64689475,-79.40568791,Furniture / Home Store
360,Trinity-Bellwoods,Thai Elephant Cafe,43.6461452,-79.40912971,Thai Restaurant
361,Trinity-Bellwoods,Loaded Pierogi,43.64589206,-79.40996945,Dumpling Restaurant
362,Trinity-Bellwoods,Dlish Cupcakes,43.64604073,-79.40965034,Cupcake Shop
363,Trinity-Bellwoods,Brass Vixens,43.6466993,-79.40620677,Gym / Fitness Center
364,Trinity-Bellwoods,Sydney's,43.64658232,-79.40747339,Men's Store
365,Trinity-Bellwoods,Noce,43.64555,-79.411294,Italian Restaurant
366,Trinity-Bellwoods,NADÈGE,43.64573967,-79.41147396,Bakery
367,Trinity-Bellwoods,Type Books,43.64568492,-79.41163677,Bookstore
